14:26:47.636 -> Humidity: 57.00 %, Temp: 21.70 Celsius
14:35:37.060 -> Humidity: 40.40 %, Temp: 35.40 Celsius
14:35:47.043 -> Humidity: 40.10 %, Temp: 35.60 Celsius
14:35:57.028 -> Humidity: 39.70 %, Temp: 35.60 Celsius
14:36:06.995 -> Humidity: 39.40 %, Temp: 35.70 Celsius
14:36:17.014 -> Humidity: 39.10 %, Temp: 35.90 Celsius
14:36:27.004 -> Humidity: 38.80 %, Temp: 36.00 Celsius
14:36:36.953 -> Humidity: 38.40 %, Temp: 36.10 Celsius
14:36:46.982 -> Humidity: 38.10 %, Temp: 36.20 Celsius
14:36:56.943 -> Humidity: 37.90 %, Temp: 36.30 Celsius
14:37:06.965 -> Humidity: 37.60 %, Temp: 36.30 Celsius
14:37:16.948 -> Humidity: 37.30 %, Temp: 36.40 Celsius
14:37:26.906 -> Humidity: 37.00 %, Temp: 36.40 Celsius
14:37:36.902 -> Humidity: 36.70 %, Temp: 36.50 Celsius
14:37:46.904 -> Humidity: 36.40 %, Temp: 36.60 Celsius
14:37:56.900 -> Humidity: 36.20 %, Temp: 36.70 Celsius
14:38:06.855 -> Humidity: 35.90 %, Temp: 36.70 Celsius
14:38:16.888 -> Humidity: 35.60 %, Temp: 36.70 Celsius
14:38:26.854 -> Humidity: 35.40 %, Temp: 36.80 Celsius
14:38:06.855 -> Humidity: 35.90 %, Temp: 36.70 Celsius
14:38:16.888 -> Humidity: 35.60 %, Temp: 36.70 Celsius
14:38:26.854 -> Humidity: 35.40 %, Temp: 36.80 Celsius
14:38:36.863 -> Humidity: 35.30 %, Temp: 36.90 Celsius
14:38:46.816 -> Humidity: 35.00 %, Temp: 36.90 Celsius
14:38:56.820 -> Humidity: 34.80 %, Temp: 37.00 Celsius
14:39:06.837 -> Humidity: 34.60 %, Temp: 37.00 Celsius
14:39:16.823 -> Humidity: 34.40 %, Temp: 37.00 Celsius
14:39:26.795 -> Humidity: 34.20 %, Temp: 37.00 Celsius
14:39:36.797 -> Humidity: 34.00 %, Temp: 37.00 Celsius
14:39:46.757 -> Humidity: 33.90 %, Temp: 37.10 Celsius
14:39:56.752 -> Humidity: 33.80 %, Temp: 37.10 Celsius
14:40:06.742 -> Humidity: 33.60 %, Temp: 37.10 Celsius
14:40:16.743 -> Humidity: 33.40 %, Temp: 37.10 Celsius
14:40:26.715 -> Humidity: 33.30 %, Temp: 37.10 Celsius
14:40:36.738 -> Humidity: 33.20 %, Temp: 37.20 Celsius
14:40:46.717 -> Humidity: 33.10 %, Temp: 37.20 Celsius
14:40:56.697 -> Humidity: 32.90 %, Temp: 37.20 Celsius
14:41:06.696 -> Humidity: 32.80 %, Temp: 37.20 Celsius
14:41:16.673 -> Humidity: 32.70 %, Temp: 37.20 Celsius
14:41:26.658 -> Humidity: 32.60 %, Temp: 37.20 Celsius
14:41:36.655 -> Humidity: 32.50 %, Temp: 37.20 Celsius
14:41:46.642 -> Humidity: 32.30 %, Temp: 37.20 Celsius
14:41:56.608 -> Humidity: 32.20 %, Temp: 37.20 Celsius
14:42:06.594 -> Humidity: 32.00 %, Temp: 37.20 Celsius
14:42:16.591 -> Humidity: 32.00 %, Temp: 37.20 Celsius
14:42:26.605 -> Humidity: 31.80 %, Temp: 37.20 Celsius
14:42:36.601 -> Humidity: 31.70 %, Temp: 37.20 Celsius
14:42:46.572 -> Humidity: 31.70 %, Temp: 37.20 Celsius
14:42:56.559 -> Humidity: 31.70 %, Temp: 37.20 Celsius
14:43:06.540 -> Humidity: 31.60 %, Temp: 37.20 Celsius
14:43:16.540 -> Humidity: 31.60 %, Temp: 37.20 Celsius
14:43:26.545 -> Humidity: 31.60 %, Temp: 37.20 Celsius
14:43:36.521 -> Humidity: 31.50 %, Temp: 37.20 Celsius
14:43:46.513 -> Humidity: 31.40 %, Temp: 37.20 Celsius
14:43:56.514 -> Humidity: 31.40 %, Temp: 37.20 Celsius
14:44:06.502 -> Humidity: 31.30 %, Temp: 37.20 Celsius
14:44:16.486 -> Humidity: 31.30 %, Temp: 37.20 Celsius
14:44:26.466 -> Humidity: 31.30 %, Temp: 37.20 Celsius
14:44:36.454 -> Humidity: 31.20 %, Temp: 37.20 Celsius
14:44:46.428 -> Humidity: 31.10 %, Temp: 37.20 Celsius
14:44:56.424 -> Humidity: 31.10 %, Temp: 37.20 Celsius
14:45:06.416 -> Humidity: 31.00 %, Temp: 37.20 Celsius
14:45:16.407 -> Humidity: 30.90 %, Temp: 37.20 Celsius
14:45:26.417 -> Humidity: 30.90 %, Temp: 37.20 Celsius
14:45:36.392 -> Humidity: 30.80 %, Temp: 37.20 Celsius
14:45:46.362 -> Humidity: 30.80 %, Temp: 37.20 Celsius
14:45:56.358 -> Humidity: 30.60 %, Temp: 37.20 Celsius
14:46:06.332 -> Humidity: 30.50 %, Temp: 37.20 Celsius
14:46:16.361 -> Humidity: 30.50 %, Temp: 37.30 Celsius
14:46:26.332 -> Humidity: 30.40 %, Temp: 37.30 Celsius
14:46:36.316 -> Humidity: 30.40 %, Temp: 37.30 Celsius
14:46:46.297 -> Humidity: 30.30 %, Temp: 37.30 Celsius
14:46:56.326 -> Humidity: 30.30 %, Temp: 37.30 Celsius
14:47:06.301 -> Humidity: 30.20 %, Temp: 37.30 Celsius
14:47:16.274 -> Humidity: 30.10 %, Temp: 37.20 Celsius
14:47:26.247 -> Humidity: 30.10 %, Temp: 37.20 Celsius
14:47:36.274 -> Humidity: 30.00 %, Temp: 37.20 Celsius
14:47:46.248 -> Humidity: 30.00 %, Temp: 37.20 Celsius
14:47:56.228 -> Humidity: 30.00 %, Temp: 37.20 Celsius
14:48:06.217 -> Humidity: 30.00 %, Temp: 37.20 Celsius
14:48:16.206 -> Humidity: 30.00 %, Temp: 37.20 Celsius
14:48:26.201 -> Humidity: 30.00 %, Temp: 37.20 Celsius
14:48:36.188 -> Humidity: 29.90 %, Temp: 37.20 Celsius
14:48:46.178 -> Humidity: 30.00 %, Temp: 37.30 Celsius
14:48:56.174 -> Humidity: 29.80 %, Temp: 37.20 Celsius
14:49:06.181 -> Humidity: 29.80 %, Temp: 37.20 Celsius
14:49:16.164 -> Humidity: 29.80 %, Temp: 37.20 Celsius
14:49:26.129 -> Humidity: 29.80 %, Temp: 37.20 Celsius
14:49:36.130 -> Humidity: 29.70 %, Temp: 37.20 Celsius
14:49:46.125 -> Humidity: 29.70 %, Temp: 37.20 Celsius
14:49:56.088 -> Humidity: 29.70 %, Temp: 37.20 Celsius
14:50:06.108 -> Humidity: 29.60 %, Temp: 37.20 Celsius
14:50:16.074 -> Humidity: 29.60 %, Temp: 37.20 Celsius
14:50:26.082 -> Humidity: 29.60 %, Temp: 37.20 Celsius
14:50:36.082 -> Humidity: 29.50 %, Temp: 37.20 Celsius
14:50:46.057 -> Humidity: 29.50 %, Temp: 37.20 Celsius
14:50:56.040 -> Humidity: 29.50 %, Temp: 37.30 Celsius
14:51:06.029 -> Humidity: 29.40 %, Temp: 37.30 Celsius
14:51:16.014 -> Humidity: 29.40 %, Temp: 37.30 Celsius
14:51:26.013 -> Humidity: 29.30 %, Temp: 37.30 Celsius
14:51:35.983 -> Humidity: 29.30 %, Temp: 37.30 Celsius
14:51:45.969 -> Humidity: 29.30 %, Temp: 37.30 Celsius
14:51:55.950 -> Humidity: 29.20 %, Temp: 37.20 Celsius
14:52:05.961 -> Humidity: 29.10 %, Temp: 37.20 Celsius
14:52:15.932 -> Humidity: 29.10 %, Temp: 37.20 Celsius
14:52:25.924 -> Humidity: 29.10 %, Temp: 37.20 Celsius
14:52:35.904 -> Humidity: 29.10 %, Temp: 37.20 Celsius
14:52:45.895 -> Humidity: 29.00 %, Temp: 37.20 Celsius
14:52:55.903 -> Humidity: 29.00 %, Temp: 37.20 Celsius
14:53:05.912 -> Humidity: 29.00 %, Temp: 37.20 Celsius
14:53:15.883 -> Humidity: 28.90 %, Temp: 37.20 Celsius
14:53:25.878 -> Humidity: 28.90 %, Temp: 37.20 Celsius
14:53:35.869 -> Humidity: 28.90 %, Temp: 37.20 Celsius
14:53:45.852 -> Humidity: 28.90 %, Temp: 37.20 Celsius
