16:40:55.512 -> Humidity: 42.60 %, Temp: 37.20 Celsius
16:41:05.503 -> Humidity: 42.70 %, Temp: 37.20 Celsius
16:41:15.521 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:41:25.517 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:41:35.474 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:41:45.458 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:41:55.455 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:42:05.462 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:42:15.427 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:42:25.429 -> Humidity: 42.80 %, Temp: 37.20 Celsius
16:42:35.402 -> Humidity: 42.90 %, Temp: 37.20 Celsius
16:42:45.399 -> Humidity: 42.90 %, Temp: 37.20 Celsius
16:42:55.393 -> Humidity: 42.90 %, Temp: 37.20 Celsius
16:43:05.395 -> Humidity: 42.90 %, Temp: 37.20 Celsius
16:43:15.389 -> Humidity: 42.90 %, Temp: 37.20 Celsius
16:43:25.391 -> Humidity: 43.00 %, Temp: 37.20 Celsius
16:43:35.364 -> Humidity: 43.00 %, Temp: 37.20 Celsius
16:43:45.349 -> Humidity: 43.00 %, Temp: 37.20 Celsius
16:43:55.365 -> Humidity: 43.00 %, Temp: 37.20 Celsius
16:44:05.331 -> Humidity: 43.10 %, Temp: 37.20 Celsius
16:44:15.318 -> Humidity: 43.10 %, Temp: 37.20 Celsius
16:44:25.296 -> Humidity: 43.00 %, Temp: 37.20 Celsius
16:44:35.293 -> Humidity: 43.10 %, Temp: 37.20 Celsius
16:44:45.286 -> Humidity: 43.10 %, Temp: 37.20 Celsius
16:44:55.266 -> Humidity: 43.10 %, Temp: 37.20 Celsius
16:45:05.247 -> Humidity: 43.20 %, Temp: 37.20 Celsius
16:45:15.243 -> Humidity: 43.20 %, Temp: 37.20 Celsius
16:45:25.217 -> Humidity: 43.20 %, Temp: 37.20 Celsius
16:45:35.230 -> Humidity: 43.20 %, Temp: 37.20 Celsius
16:45:45.228 -> Humidity: 43.30 %, Temp: 37.20 Celsius
16:45:55.230 -> Humidity: 43.30 %, Temp: 37.20 Celsius
16:46:05.213 -> Humidity: 43.30 %, Temp: 37.20 Celsius
16:46:15.191 -> Humidity: 43.40 %, Temp: 37.20 Celsius
16:46:25.161 -> Humidity: 43.40 %, Temp: 37.20 Celsius
16:46:35.183 -> Humidity: 43.40 %, Temp: 37.20 Celsius
16:46:45.141 -> Humidity: 43.40 %, Temp: 37.20 Celsius
16:46:55.154 -> Humidity: 43.40 %, Temp: 37.20 Celsius
16:47:05.117 -> Humidity: 43.50 %, Temp: 37.30 Celsius
