14:51:56.562 -> Humidity: 55.50 %, Temp: 36.80 Celsius
14:52:06.591 -> Humidity: 55.60 %, Temp: 36.80 Celsius
14:52:16.552 -> Humidity: 55.60 %, Temp: 36.80 Celsius
14:52:26.529 -> Humidity: 55.70 %, Temp: 36.80 Celsius
14:52:36.541 -> Humidity: 55.80 %, Temp: 36.80 Celsius
14:52:46.524 -> Humidity: 55.90 %, Temp: 36.80 Celsius
14:52:56.497 -> Humidity: 56.10 %, Temp: 36.90 Celsius
14:53:06.524 -> Humidity: 56.20 %, Temp: 36.90 Celsius
14:53:16.506 -> Humidity: 56.30 %, Temp: 36.90 Celsius
14:53:26.470 -> Humidity: 56.40 %, Temp: 36.90 Celsius
14:53:36.464 -> Humidity: 56.40 %, Temp: 36.90 Celsius
14:53:46.469 -> Humidity: 56.50 %, Temp: 36.90 Celsius
14:53:56.424 -> Humidity: 56.60 %, Temp: 36.90 Celsius
14:54:06.449 -> Humidity: 56.60 %, Temp: 36.90 Celsius
14:54:16.403 -> Humidity: 56.70 %, Temp: 36.90 Celsius
14:54:26.429 -> Humidity: 56.80 %, Temp: 36.90 Celsius
14:54:36.420 -> Humidity: 56.90 %, Temp: 36.90 Celsius
14:54:46.372 -> Humidity: 56.90 %, Temp: 36.90 Celsius
14:54:56.390 -> Humidity: 57.00 %, Temp: 36.90 Celsius
14:55:06.360 -> Humidity: 57.00 %, Temp: 36.90 Celsius
14:55:16.371 -> Humidity: 57.10 %, Temp: 36.90 Celsius
14:55:26.342 -> Humidity: 57.20 %, Temp: 36.90 Celsius
14:55:36.340 -> Humidity: 57.30 %, Temp: 36.90 Celsius
14:55:46.308 -> Humidity: 57.40 %, Temp: 36.90 Celsius
14:55:56.311 -> Humidity: 57.50 %, Temp: 37.00 Celsius
14:56:06.296 -> Humidity: 57.60 %, Temp: 37.00 Celsius
14:56:16.319 -> Humidity: 57.70 %, Temp: 37.00 Celsius
14:56:26.291 -> Humidity: 57.80 %, Temp: 37.00 Celsius
14:56:36.271 -> Humidity: 57.90 %, Temp: 37.00 Celsius
14:56:46.272 -> Humidity: 58.00 %, Temp: 37.00 Celsius
14:56:56.256 -> Humidity: 58.00 %, Temp: 37.00 Celsius
14:57:06.227 -> Humidity: 58.10 %, Temp: 37.00 Celsius
14:57:16.210 -> Humidity: 58.30 %, Temp: 37.00 Celsius
